Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-03-08,2196.62,2216.67,2196.62,2213.24,24394432
2017-03-09,2215.88,2215.88,2167.04,2189.66,33497573
2017-03-10,2195.42,2224.01,2195.42,2200.03,24594189
2017-03-13,2200.2,2242.55,2200.2,2242.55,21398510
2017-03-14,2242.95,2249.26,2228.74,2238.38,34980452
2017-03-15,2244.71,2246.33,2228.72,2229.87,26088999
2017-03-16,2246.85,2285.17,2246.85,2283.7,30882447
2017-03-17,2285.74,2308.92,2284.23,2296.97,62883209
2017-03-20,2294.85,2295.07,2265.28,2281.45,16461569
2017-03-21,2280.19,2301.34,2243.34,2252.57,25935929
2017-03-22,2230.81,2230.81,2204.96,2223.84,25580730
2017-03-23,2216.35,2236.92,2213.96,2235.33,24460096
2017-03-24,2235.16,2245.11,2222.71,2234.82,14353562
2017-03-27,2215.3,2215.3,2189.23,2201.88,15550507
2017-03-28,2209.06,2225.41,2208.01,2225.41,20395136
2017-03-29,2235.73,2246.31,2202.8,2214.45,22060664
2017-03-30,2218.61,2221.62,2187.93,2209.1,22104507
2017-03-31,2203.46,2206.23,2175.96,2175.96,25578190
2017-04-03,2188.57,2223.94,2188.57,2219.88,15253292
2017-04-04,2215.65,2245.98,2212.81,2239.3,16056012
2017-04-05,2238.79,2262.18,2237.34,2253.64,19887374
2017-04-06,2243.86,2254.47,2228.48,2254.47,16506847
2017-04-07,2250.06,2255.72,2233.49,2248.33,17336224
2017-04-10,2250.93,2255.25,2243.26,2244.02,12876184
2017-04-11,2241.61,2253.02,2206.89,2221.82,23443244
2017-04-12,2223.29,2238.45,2212.6,2214.06,22528334
2017-04-13,2216.92,2238.09,2214.26,2233.63,21122349
2017-04-18,2237.96,2259.53,2231.06,2237.36,25384597
2017-04-19,2243.91,2276.46,2243.38,2274.69,29982677
2017-04-20,2273.77,2291.55,2267.55,2285.82,27111821
2017-04-21,2287.86,2300.71,2259.11,2264.07,25878152
2017-04-24,2283.16,2304.25,2283.16,2296.9,19952215
2017-04-25,2300.42,2353.17,2300.42,2353.17,25366154
2017-04-26,2354.17,2387.66,2342.28,2383.97,30797141
2017-04-27,2378.56,2393.45,2371.98,2382.78,26213756
2017-04-28,2384.53,2399.24,2368.94,2376.87,27644705
2017-05-02,2381.68,2398.73,2381.68,2392.09,19789466
2017-05-04,2395.19,2422.31,2365.66,2381,39728578
2017-05-05,2367.91,2385.44,2349.24,2382.17,26507264
2017-05-08,2389.8,2394.29,2360.64,2374.23,19660762
2017-05-09,2378.66,2414.73,2376.17,2413.53,23805914
2017-05-10,2409.88,2419.08,2375.44,2380.25,23425141
2017-05-11,2381.66,2408.99,2361,2364.93,34945317
2017-05-12,2367.93,2374.62,2358.91,2368.5,28745677
2017-05-15,2378.39,2388.7,2361.82,2377.15,16598875
2017-05-16,2375.63,2380.39,2323.57,2340.34,23040908
2017-05-17,2330.87,2337.51,2301.12,2302.21,28726993
2017-05-18,2299.09,2311.2,2263.06,2295.14,22977944
2017-05-19,2297.16,2334.82,2292.35,2328.7,21626569
2017-05-22,2336.02,2346.84,2304.8,2343.13,20461056
2017-05-23,2339.18,2342.23,2305.86,2307.84,18972546
2017-05-24,2305.98,2324.99,2292.01,2324.99,23585504
2017-05-25,2339.54,2363.03,2339.54,2358.41,31903580
2017-05-26,2353.12,2354.58,2326.28,2326.28,16854500
2017-05-29,2326.69,2331.27,2314.7,2323.58,6709810
2017-05-30,2315.74,2315.74,2286.41,2292.27,17732229
2017-05-31,2292.96,2317.62,2277.06,2281.18,49624647
2017-06-01,2283.62,2289.82,2267.37,2278.26,25962936
2017-06-02,2292.38,2303.21,2289.42,2303.21,19614438
2017-06-05,2301.67,2302.4,2271.97,2276.01,16067069
2017-06-06,2270.87,2307.5,2257.98,2303.68,19897901
2017-06-07,2308.36,2328.34,2305.34,2308.64,27352510
2017-06-08,2310.69,2343.56,2300.75,2340.23,24473615
2017-06-09,2339.71,2355.79,2330.72,2330.72,20795133
2017-06-12,2329.9,2329.9,2288.64,2295.01,16466683
2017-06-13,2297.3,2310.42,2284.71,2302.41,16779454
2017-06-14,2301.42,2311.02,2288.64,2295.99,23315258
2017-06-16,2293.17,2315.37,2290.96,2304.5,35238957
2017-06-19,2312.63,2337.06,2312.63,2334.27,26776212
2017-06-20,2327.84,2327.84,2297.65,2302.83,19692102
2017-06-21,2295.92,2319.13,2280.63,2319.13,28205430
2017-06-22,2313.6,2323.43,2300.68,2308.16,18948649
2017-06-23,2305.7,2317.13,2302.88,2304.48,21772871
2017-06-26,2313.84,2351.61,2313.84,2337.69,16791441
2017-06-27,2334.82,2355.53,2332.27,2345.05,23102328
2017-06-28,2343.41,2343.41,2322.38,2327.68,18697601
2017-06-29,2334.5,2350.41,2315.39,2329.26,15564727
2017-06-30,2324.71,2329.24,2297.08,2299.8,20115077
2017-07-03,2305.25,2323.74,2301.55,2323.74,10843440
2017-07-04,2317.64,2317.64,2293.08,2294.27,12065259
2017-07-05,2298.75,2307.87,2294.14,2307.49,19002253
2017-07-06,2309.29,2323.94,2288.76,2300.74,13310858
2017-07-07,2299.26,2306.23,2290.98,2295.82,13058367
2017-07-10,2305.52,2316.01,2290.47,2300.66,13262509
2017-07-11,2303.48,2312.57,2294.2,2297.73,17643061
2017-07-12,2297.08,2343.27,2297.08,2341.54,30946174
2017-07-13,2335.49,2350.83,2333.08,2350.83,32212428
2017-07-14,2349.47,2351.05,2333.11,2350.43,20685827
2017-07-17,2353.46,2379.2,2353.46,2372.17,18412793
2017-07-18,2367.99,2381.08,2355.4,2360.75,18680541
2017-07-19,2364,2378.42,2362.34,2374.31,22258496
2017-07-20,2375.73,2387.1,2357.35,2358.5,24806706
2017-07-21,2356.9,2370.28,2342.42,2343.1,20637206
2017-07-24,2344.63,2345.94,2329.49,2334.69,13867593
2017-07-25,2337.8,2346.12,2328.87,2341.36,25054105
2017-07-26,2344.28,2363.74,2344.28,2360.26,16089710
2017-07-27,2361.54,2363.85,2343.57,2350.91,19418237
2017-07-28,2344.85,2360.83,2331.71,2360.42,23276373
2017-07-31,2357.45,2388.25,2356.82,2374.17,27541587
2017-08-01,2377.03,2387.16,2366.02,2386.4,21992640
2017-08-02,2387.69,2397.4,2363.84,2366.06,23655870
2017-08-03,2365.65,2374.8,2353.22,2365.48,19913048
2017-08-04,2365.84,2385.36,2365.84,2380.16,14221430
2017-08-07,2380.96,2391.39,2376.42,2388.21,12889897
2017-08-08,2387.51,2425.02,2383.14,2425.02,17915206
2017-08-09,2420.38,2420.38,2391.26,2408.11,18513508
2017-08-10,2403.19,2412.2,2378.92,2382.67,20435255
2017-08-11,2373.71,2379.21,2364.3,2371.72,17592427
2017-08-14,2375.77,2388.28,2374.89,2376.66,12262155
2017-08-16,2378.88,2401.17,2378.88,2381.18,24489014
2017-08-17,2378.87,2381.49,2353.18,2353.18,22422140
2017-08-18,2346.8,2359.87,2338.6,2359.87,18983058
2017-08-21,2358.89,2378.2,2350.86,2377.28,18076215
2017-08-22,2380.47,2393.15,2376.43,2387.24,18195791
2017-08-23,2387.52,2395.62,2374.66,2391.06,14965936
2017-08-24,2395.3,2456.82,2395.3,2456.27,28821793
2017-08-25,2464.81,2481.63,2459.27,2471.74,19644957
2017-08-28,2474.13,2534.04,2470.06,2531.31,21492576
2017-08-29,2525.41,2525.41,2479.35,2497.58,23903291
2017-08-30,2507.29,2537.24,2503.35,2524.57,24313159
2017-08-31,2520.23,2532.83,2501.59,2516.26,26150711
2017-09-01,2512.46,2528.82,2508.86,2527.62,15899558
2017-09-04,2513.38,2525.72,2508.27,2519.42,15063183
2017-09-05,2521.04,2550.74,2513.24,2517.45,20397129
2017-09-06,2512.11,2528.3,2506.3,2512.4,18696882
2017-09-07,2511.82,2528.65,2482.13,2491.79,24762483
2017-09-08,2488.67,2499.63,2479.83,2483.58,18177296
2017-09-11,2489.43,2524.21,2489.43,2513.44,17103778
2017-09-12,2518.15,2536.08,2500.09,2505.88,18662828
2017-09-13,2507.73,2522.25,2499.45,2500.16,18009304
2017-09-14,2502.15,2511.08,2498.32,2507.43,20550646
2017-09-15,2507,2514.27,2492.89,2498.32,44024410
2017-09-18,2503.74,2525.41,2497.1,2501.75,15089511
2017-09-19,2495.79,2512.63,2495.79,2502.81,16350884
2017-09-20,2505.52,2518.1,2480.2,2499.63,12881674
2017-09-21,2501.16,2501.16,2464.53,2468.72,18563784
2017-09-22,2464.57,2481.28,2460.28,2480.73,16698350
2017-09-25,2479.08,2485.2,2453.15,2453.15,12084534
2017-09-26,2452.04,2461.48,2437.15,2443.34,14174482
2017-09-27,2447.67,2456.47,2430.03,2433.82,12196405
2017-09-28,2430.81,2440.4,2422.97,2427.04,18051118
2017-09-29,2430.17,2462.04,2430.17,2453.46,19541273
2017-10-02,2459.84,2480.47,2456.08,2469.58,15273199
2017-10-03,2471.22,2488.67,2465.9,2469.51,19843352
2017-10-04,2470.39,2489.93,2443.82,2444.19,25133969
2017-10-05,2444.16,2469.8,2439.73,2463.45,17932630
2017-10-06,2466,2485.35,2463.56,2479.46,20003941
2017-10-09,2483.61,2499.35,2479.67,2499.35,11981485
2017-10-10,2506.81,2519.73,2503.89,2516.49,15674573
2017-10-11,2520.81,2556.95,2519.87,2551.78,32741288
2017-10-12,2557.48,2566.02,2536.52,2537.69,21374117
2017-10-13,2538.56,2546.32,2528.16,2528.16,14280377
2017-10-16,2528.44,2546.95,2528.44,2534.52,15732315
2017-10-17,2534.17,2538.75,2514.36,2514.36,20081572
2017-10-18,2518.16,2526.25,2502.34,2502.34,18134740
2017-10-19,2490.24,2501.36,2465.78,2467.49,20080841
2017-10-20,2473.82,2486.56,2457.52,2465.51,19161334
2017-10-23,2466.64,2487.81,2466.64,2473.42,14757641
2017-10-24,2468.98,2474.35,2447.09,2448.45,20890244
2017-10-25,2449.02,2466.39,2443.27,2449.89,13708375
2017-10-26,2452.47,2463.63,2441.88,2456.17,30666074
2017-10-27,2462.46,2492.93,2454.83,2488.5,25518363
2017-10-30,2490.8,2521.41,2490.8,2517.03,12461231
2017-10-31,2514.24,2524.9,2504.11,2524.9,15668991
2017-11-02,2524.52,2532.85,2496.85,2501.4,15111578
2017-11-03,2503.49,2509.59,2483.21,2494.52,16356788
2017-11-06,2497.52,2522.12,2486.33,2515.34,14099583
2017-11-07,2521.05,2566.59,2521.05,2536.37,23705386
2017-11-08,2545.38,2548.95,2512.4,2513.34,20131826
2017-11-09,2513.25,2513.88,2466.03,2478.21,20885908
2017-11-10,2477.93,2482.26,2456.04,2457.62,26890891
2017-11-13,2458.9,2472.26,2442.08,2454.6,26688370
2017-11-14,2464.53,2477.1,2456.17,2464.35,20013919
2017-11-15,2460.26,2460.26,2412.78,2418.96,17079680
2017-11-16,2428.52,2438.67,2409.42,2411.11,24881517
2017-11-17,2412.64,2445.7,2410.81,2443.83,13232085
2017-11-20,2438.15,2470.34,2431.37,2468.09,14080013
2017-11-21,2469.21,2496.62,2465.91,2489.08,21240636
2017-11-22,2490.63,2500.37,2472.85,2489.5,18166710
